trial_id,payload_name,payload_kind,payload_text_character_length,payload_text_byte_length,payload_codec_name,condition_name,segment_size,segment_count,message_count,topic_schedule_name,natural_tail_tokens_per_message,total_forced_rank_count,total_generated_token_count,total_generated_character_count,exact_recovery,generation_seconds,recovery_seconds,mean_token_log_probability,median_token_log_probability,mean_generated_rank,p95_generated_rank,repeated_token_fraction_mean,punctuation_fraction_mean,alphabetic_fraction_mean,model_repo_id,model_filename,model_path_relative,notes,result_directory,tail_policy,requested_tail_token_count,actual_tail_token_count_mean,token_filter_name,total_forced_prefix_token_count,total_full_message_token_count,total_full_message_character_count,forced_prefix_mean_log_probability_mean,forced_prefix_repetition_mean,forced_prefix_punctuation_fraction_mean,forced_prefix_alphabetic_fraction_mean,full_message_mean_log_probability_mean,full_message_repetition_mean,full_message_punctuation_fraction_mean,full_message_alphabetic_fraction_mean,forced_prefix_artifact_count_mean,full_message_artifact_count_mean,protocol_variant,payload_class,representation_name,leadin_policy,leadin_token_count
quality_001,sha256_public_test_string,sha256_hex,64.0,64.0,raw_hex_nibbles,segmented_single_topic_fixed_tail40_unfiltered,8,8,8,single_recipe_long,,64,,,True,173.99178973189555,78.35924404812977,-1.3614627188411244,,2.244791666666667,10.381249999999998,0.2109375,0.0298896637414536,0.7995829655037408,QuantFactory/Meta-Llama-3-8B-Instruct-GGUF,Meta-Llama-3-8B-Instruct.Q4_K_M.gguf,models/llama3_8b/Meta-Llama-3-8B-Instruct.Q4_K_M.gguf,single recipe prompt; fixed 40-token greedy tail; no token filter; legacy metric columns refer to full-message metrics,results/rankcloak_segmented_quality_controls,fixed_tail40,40.0,40.0,none,64.0,384.0,1750.0,-4.753811803455744,0.0,0.0321532634032634,0.8272436405370674,-1.3614627188411244,0.2109375,0.0298896637414536,0.7995829655037408,0.125,0.125,,,,,
quality_002,sha256_public_test_string,sha256_hex,64.0,64.0,raw_hex_nibbles,segmented_single_topic_sentence_tail_unfiltered,8,8,8,single_recipe_long,,64,,,True,162.94468060793588,77.86309951898875,-1.4216087248972702,,2.379258098223616,10.593749999999998,0.1996207012062923,0.0320742787188797,0.7986947686122583,QuantFactory/Meta-Llama-3-8B-Instruct-GGUF,Meta-Llama-3-8B-Instruct.Q4_K_M.gguf,models/llama3_8b/Meta-Llama-3-8B-Instruct.Q4_K_M.gguf,single recipe prompt; sentence-boundary greedy tail; no token filter; legacy metric columns refer to full-message metrics,results/rankcloak_segmented_quality_controls,sentence_tail_min20_max60,60.0,37.0,none,64.0,360.0,1635.0,-4.753811803455744,0.0,0.0321532634032634,0.8272436405370674,-1.4216087248972702,0.1996207012062923,0.0320742787188797,0.7986947686122583,0.125,0.125,,,,,
quality_003,sha256_public_test_string,sha256_hex,64.0,64.0,raw_hex_nibbles,segmented_multi_topic_sentence_tail_unfiltered,8,8,8,mixed_recipe_forum_blog_grocery_plant,,64,,,True,134.27752442809287,55.9485358261154,-1.3948122483408203,,2.436020610864255,10.912499999999996,0.1334001400137991,0.0498377818100036,0.7736552922726522,QuantFactory/Meta-Llama-3-8B-Instruct-GGUF,Meta-Llama-3-8B-Instruct.Q4_K_M.gguf,models/llama3_8b/Meta-Llama-3-8B-Instruct.Q4_K_M.gguf,rotating ordinary prose prompts; sentence-boundary greedy tail; no token filter; legacy metric columns refer to full-message metrics,results/rankcloak_segmented_quality_controls,sentence_tail_min20_max60,60.0,35.625,none,64.0,349.0,1458.0,-5.151814169099765,0.0,0.1025801937584423,0.7665149245291434,-1.3948122483408203,0.1334001400137991,0.0498377818100036,0.7736552922726522,0.25,0.25,,,,,
quality_004,sha256_public_test_string,sha256_hex,64.0,64.0,raw_hex_nibbles,segmented_single_topic_sentence_tail_filtered,8,8,8,single_recipe_long,,64,,,True,152.5887744789361,78.35806999204215,-1.583868378114076,,2.5772963384463905,10.887499999999998,0.1638836082263828,0.0354137763519823,0.7991867831014036,QuantFactory/Meta-Llama-3-8B-Instruct-GGUF,Meta-Llama-3-8B-Instruct.Q4_K_M.gguf,models/llama3_8b/Meta-Llama-3-8B-Instruct.Q4_K_M.gguf,single recipe prompt; sentence-boundary greedy tail; safe-text token filter; legacy metric columns refer to full-message metrics,results/rankcloak_segmented_quality_controls,sentence_tail_min20_max60,60.0,32.75,safe_text_filter_v1,64.0,326.0,1470.0,-4.772008520797417,0.0,0.0332691983427277,0.8275344023945976,-1.583868378114076,0.1638836082263828,0.0354137763519823,0.7991867831014036,0.0,0.0,,,,,
quality_005,sha256_public_test_string,sha256_hex,64.0,64.0,raw_hex_nibbles,segmented_multi_topic_sentence_tail_filtered,8,8,8,mixed_recipe_forum_blog_grocery_plant,,64,,,True,131.89849221380427,60.39221685996745,-1.4289651325341175,,2.4857982719286804,10.962499999999997,0.1339222200579379,0.0523083020872663,0.7707421992749903,QuantFactory/Meta-Llama-3-8B-Instruct-GGUF,Meta-Llama-3-8B-Instruct.Q4_K_M.gguf,models/llama3_8b/Meta-Llama-3-8B-Instruct.Q4_K_M.gguf,rotating ordinary prose prompts; sentence-boundary greedy tail; safe-text token filter; legacy metric columns refer to full-message metrics,results/rankcloak_segmented_quality_controls,sentence_tail_min20_max60,60.0,34.0,safe_text_filter_v1,64.0,336.0,1384.0,-5.005090241754892,0.0,0.0786717825220972,0.7753069067195196,-1.4289651325341175,0.1339222200579379,0.0523083020872663,0.7707421992749903,0.0,0.0,,,,,
quality_006,random_128_bit_hex,random_hex,32.0,32.0,raw_hex_nibbles,segmented_single_topic_fixed_tail40_unfiltered,8,4,4,single_recipe_long,,32,,,True,85.58439515193459,38.476468839042354,-1.2559915932771002,,2.0416666666666665,8.537499999999996,0.1822916666666666,0.0393378039901234,0.7904521810778091,QuantFactory/Meta-Llama-3-8B-Instruct-GGUF,Meta-Llama-3-8B-Instruct.Q4_K_M.gguf,models/llama3_8b/Meta-Llama-3-8B-Instruct.Q4_K_M.gguf,single recipe prompt; fixed 40-token greedy tail; no token filter; legacy metric columns refer to full-message metrics,results/rankcloak_segmented_quality_controls,fixed_tail40,40.0,40.0,none,32.0,192.0,870.0,-4.60932584728939,0.0,0.0634582240057622,0.7686467819107887,-1.2559915932771002,0.1822916666666666,0.0393378039901234,0.7904521810778091,0.25,0.25,,,,,
quality_007,random_128_bit_hex,random_hex,32.0,32.0,raw_hex_nibbles,segmented_single_topic_sentence_tail_unfiltered,8,4,4,single_recipe_long,,32,,,True,79.02856173104374,38.98140848201001,-1.3727361397533129,,2.2449715552142955,8.98749999999999,0.1486938084601424,0.0434895423765384,0.7844509864948461,QuantFactory/Meta-Llama-3-8B-Instruct-GGUF,Meta-Llama-3-8B-Instruct.Q4_K_M.gguf,models/llama3_8b/Meta-Llama-3-8B-Instruct.Q4_K_M.gguf,single recipe prompt; sentence-boundary greedy tail; no token filter; legacy metric columns refer to full-message metrics,results/rankcloak_segmented_quality_controls,sentence_tail_min20_max60,60.0,33.25,none,32.0,165.0,750.0,-4.60932584728939,0.0,0.0634582240057622,0.7686467819107887,-1.3727361397533129,0.1486938084601424,0.0434895423765384,0.7844509864948461,0.25,0.25,,,,,
quality_008,random_128_bit_hex,random_hex,32.0,32.0,raw_hex_nibbles,segmented_multi_topic_sentence_tail_unfiltered,8,4,4,mixed_recipe_forum_blog_grocery_plant,,32,,,True,68.89712761598639,27.8016697029816,-1.190714895254077,,2.183286005108855,8.649999999999991,0.1580056015871163,0.036043922550784,0.7839117441489916,QuantFactory/Meta-Llama-3-8B-Instruct-GGUF,Meta-Llama-3-8B-Instruct.Q4_K_M.gguf,models/llama3_8b/Meta-Llama-3-8B-Instruct.Q4_K_M.gguf,rotating ordinary prose prompts; sentence-boundary greedy tail; no token filter; legacy metric columns refer to full-message metrics,results/rankcloak_segmented_quality_controls,sentence_tail_min20_max60,60.0,36.0,none,32.0,176.0,792.0,-4.602863061467003,0.0,0.0688849194283977,0.7565105731814529,-1.190714895254077,0.1580056015871163,0.036043922550784,0.7839117441489916,0.0,0.0,,,,,
quality_009,random_128_bit_hex,random_hex,32.0,32.0,raw_hex_nibbles,segmented_single_topic_sentence_tail_filtered,8,4,4,single_recipe_long,,32,,,True,75.66191681404598,42.02677761006635,-1.3809227798405102,,2.355445456313197,9.087499999999997,0.1833206399619739,0.0456524784523601,0.7876371127299742,QuantFactory/Meta-Llama-3-8B-Instruct-GGUF,Meta-Llama-3-8B-Instruct.Q4_K_M.gguf,models/llama3_8b/Meta-Llama-3-8B-Instruct.Q4_K_M.gguf,single recipe prompt; sentence-boundary greedy tail; safe-text token filter; legacy metric columns refer to full-message metrics,results/rankcloak_segmented_quality_controls,sentence_tail_min20_max60,60.0,32.5,safe_text_filter_v1,32.0,162.0,711.0,-4.534201171116562,0.0,0.0790654238234883,0.7518206256109482,-1.3809227798405102,0.1833206399619739,0.0456524784523601,0.7876371127299742,0.0,0.0,,,,,
quality_010,random_128_bit_hex,random_hex,32.0,32.0,raw_hex_nibbles,segmented_multi_topic_sentence_tail_filtered,8,4,4,mixed_recipe_forum_blog_grocery_plant,,32,,,True,69.9256732899812,28.363428900076546,-1.1335586966213285,,2.1404811270600743,8.53749999999999,0.204712918660287,0.0404898199028598,0.7815498611807014,QuantFactory/Meta-Llama-3-8B-Instruct-GGUF,Meta-Llama-3-8B-Instruct.Q4_K_M.gguf,models/llama3_8b/Meta-Llama-3-8B-Instruct.Q4_K_M.gguf,rotating ordinary prose prompts; sentence-boundary greedy tail; safe-text token filter; legacy metric columns refer to full-message metrics,results/rankcloak_segmented_quality_controls,sentence_tail_min20_max60,60.0,38.25,safe_text_filter_v1,32.0,185.0,821.0,-4.421356419568337,0.0,0.07574990798675,0.7250460422890044,-1.1335586966213285,0.204712918660287,0.0404898199028598,0.7815498611807014,0.0,0.0,,,,,
segmented_hex_single_topic_sentence_tail_filtered__paper_sha256_hex_000__raw_hex_nibbles__seg8__single_recipe_long__none__safe_text__101c2ff265,paper_sha256_hex_000,sha256_hex,,,,,8,8,8,single_recipe_long,,64,,,True,124.40973313292488,77.1357740300009,,,,,,,,QuantFactory/Meta-Llama-3-8B-Instruct-GGUF,Meta-Llama-3-8B-Instruct.Q4_K_M.gguf,models/llama3_8b/Meta-Llama-3-8B-Instruct.Q4_K_M.gguf,safe-text filtered segmented raw-hex-nibble protocol; exact-copy only,results/rankcloak_paper_smoke,sentence_tail_min20_max60,,24.25,safe_text_filter_v1,64.0,258.0,1178.0,-5.010375172546852,0.015625,0.0434313499332057,,-1.736669957586682,0.1456574632541188,0.0313170411455194,,0.25,0.25,segmented_hex_single_topic_sentence_tail_filtered,sha256_hex,raw_hex_nibbles,none,0.0
segmented_hex_single_topic_sentence_tail_filtered__paper_random_128_bit_hex_000__raw_hex_nibbles__seg8__single_recipe_long__none__sa__a218b58ef8,paper_random_128_bit_hex_000,random_hex,,,,,8,4,4,single_recipe_long,,32,,,True,75.175170931092,37.51010650896933,,,,,,,,QuantFactory/Meta-Llama-3-8B-Instruct-GGUF,Meta-Llama-3-8B-Instruct.Q4_K_M.gguf,models/llama3_8b/Meta-Llama-3-8B-Instruct.Q4_K_M.gguf,safe-text filtered segmented raw-hex-nibble protocol; exact-copy only,results/rankcloak_paper_smoke,sentence_tail_min20_max60,,37.5,safe_text_filter_v1,32.0,182.0,740.0,-4.945502037880205,0.0,0.0378407460545193,,-1.4775749095356852,0.1750363860277653,0.0372513742765487,,0.25,0.25,segmented_hex_single_topic_sentence_tail_filtered,random_128_bit_hex,raw_hex_nibbles,none,0.0
