model_id,schedule,payload_class,selected_payload,structural_boundaries,eligible_boundaries,excluded_boundaries,reasons
mistral_7b_instruct_v0_3_q4_k_m,segmented_hex_multi_topic,nonce_96_bit_hex,False,111,74,37,"{'ordinary:evaluator_boundary_straddle': 25, 'shuffled:evaluator_boundary_straddle': 6, 'actual:evaluator_boundary_straddle': 9, 'short_actual_words': 2}"
mistral_7b_instruct_v0_3_q4_k_m,segmented_hex_multi_topic,nonce_96_bit_hex,True,69,50,19,"{'ordinary:evaluator_boundary_straddle': 12, 'short_actual_words': 4, 'actual:evaluator_boundary_straddle': 2, 'shuffled:evaluator_boundary_straddle': 1}"
mistral_7b_instruct_v0_3_q4_k_m,segmented_hex_multi_topic,sha256_hex,False,296,182,114,"{'ordinary:evaluator_boundary_straddle': 60, 'actual:evaluator_boundary_straddle': 43, 'shuffled:evaluator_boundary_straddle': 15, 'short_actual_words': 13}"
mistral_7b_instruct_v0_3_q4_k_m,segmented_hex_multi_topic,sha256_hex,True,184,121,63,"{'ordinary:evaluator_boundary_straddle': 30, 'short_actual_words': 5, 'actual:evaluator_boundary_straddle': 28, 'shuffled:evaluator_boundary_straddle': 5}"
mistral_7b_instruct_v0_3_q4_k_m,segmented_hex_multi_topic,token_128_bit_hex,False,148,95,53,"{'ordinary:evaluator_boundary_straddle': 30, 'actual:evaluator_boundary_straddle': 22, 'shuffled:evaluator_boundary_straddle': 7, 'short_actual_words': 4}"
mistral_7b_instruct_v0_3_q4_k_m,segmented_hex_multi_topic,token_128_bit_hex,True,92,58,34,"{'actual:evaluator_boundary_straddle': 16, 'ordinary:evaluator_boundary_straddle': 18, 'short_actual_words': 2, 'shuffled:evaluator_boundary_straddle': 2}"
mistral_7b_instruct_v0_3_q4_k_m,segmented_hex_single_topic,hmac_sha256_hex,False,296,189,107,"{'ordinary:evaluator_boundary_straddle': 56, 'shuffled:evaluator_boundary_straddle': 18, 'actual:evaluator_boundary_straddle': 39, 'short_actual_words': 6}"
mistral_7b_instruct_v0_3_q4_k_m,segmented_hex_single_topic,hmac_sha256_hex,True,184,131,53,"{'actual:evaluator_boundary_straddle': 20, 'short_actual_words': 6, 'ordinary:evaluator_boundary_straddle': 22, 'shuffled:evaluator_boundary_straddle': 15}"
mistral_7b_instruct_v0_3_q4_k_m,segmented_hex_single_topic,nonce_96_bit_hex,False,111,77,34,"{'actual:evaluator_boundary_straddle': 14, 'ordinary:evaluator_boundary_straddle': 22, 'shuffled:evaluator_boundary_straddle': 3, 'short_actual_words': 2}"
mistral_7b_instruct_v0_3_q4_k_m,segmented_hex_single_topic,nonce_96_bit_hex,True,69,51,18,"{'ordinary:evaluator_boundary_straddle': 9, 'actual:evaluator_boundary_straddle': 7, 'shuffled:evaluator_boundary_straddle': 3, 'short_actual_words': 1}"
mistral_7b_instruct_v0_3_q4_k_m,segmented_hex_single_topic,sha256_hex,False,296,194,102,"{'ordinary:evaluator_boundary_straddle': 61, 'short_actual_words': 11, 'actual:evaluator_boundary_straddle': 36, 'shuffled:evaluator_boundary_straddle': 11}"
mistral_7b_instruct_v0_3_q4_k_m,segmented_hex_single_topic,sha256_hex,True,184,120,64,"{'actual:evaluator_boundary_straddle': 27, 'ordinary:evaluator_boundary_straddle': 36, 'short_actual_words': 5, 'shuffled:evaluator_boundary_straddle': 8}"
mistral_7b_instruct_v0_3_q4_k_m,segmented_hex_single_topic,token_128_bit_hex,False,148,91,57,"{'ordinary:evaluator_boundary_straddle': 39, 'shuffled:evaluator_boundary_straddle': 2, 'actual:evaluator_boundary_straddle': 21, 'short_actual_words': 2}"
mistral_7b_instruct_v0_3_q4_k_m,segmented_hex_single_topic,token_128_bit_hex,True,92,53,39,"{'ordinary:evaluator_boundary_straddle': 28, 'actual:evaluator_boundary_straddle': 15, 'shuffled:evaluator_boundary_straddle': 5, 'short_actual_words': 1}"
qwen2_5_7b_instruct_q4_k_m,segmented_hex_multi_topic,hmac_sha256_hex,False,296,289,7,"{'short_actual_words': 5, 'shuffled:evaluator_boundary_straddle': 1, 'ordinary:evaluator_boundary_straddle': 1}"
qwen2_5_7b_instruct_q4_k_m,segmented_hex_multi_topic,hmac_sha256_hex,True,184,181,3,"{'shuffled:evaluator_boundary_straddle': 1, 'ordinary:evaluator_boundary_straddle': 1, 'actual:evaluator_boundary_straddle': 1}"
qwen2_5_7b_instruct_q4_k_m,segmented_hex_multi_topic,nonce_96_bit_hex,False,111,102,9,"{'shuffled:evaluator_boundary_straddle': 5, 'short_actual_words': 1, 'actual:evaluator_boundary_straddle': 3}"
qwen2_5_7b_instruct_q4_k_m,segmented_hex_multi_topic,nonce_96_bit_hex,True,69,67,2,"{'ordinary:evaluator_boundary_straddle': 1, 'actual:evaluator_boundary_straddle': 1}"
qwen2_5_7b_instruct_q4_k_m,segmented_hex_multi_topic,sha256_hex,False,296,292,4,"{'shuffled:evaluator_boundary_straddle': 3, 'actual:evaluator_boundary_straddle': 1}"
qwen2_5_7b_instruct_q4_k_m,segmented_hex_multi_topic,sha256_hex,True,184,175,9,"{'actual:evaluator_boundary_straddle': 3, 'short_actual_words': 2, 'shuffled:evaluator_boundary_straddle': 3, 'ordinary:evaluator_boundary_straddle': 1}"
qwen2_5_7b_instruct_q4_k_m,segmented_hex_multi_topic,token_128_bit_hex,False,148,141,7,"{'ordinary:evaluator_boundary_straddle': 1, 'shuffled:evaluator_boundary_straddle': 4, 'actual:evaluator_boundary_straddle': 2}"
qwen2_5_7b_instruct_q4_k_m,segmented_hex_multi_topic,token_128_bit_hex,True,92,88,4,"{'shuffled:evaluator_boundary_straddle': 1, 'short_actual_words': 2, 'ordinary:evaluator_boundary_straddle': 1, 'actual:evaluator_boundary_straddle': 1}"
qwen2_5_7b_instruct_q4_k_m,segmented_hex_single_topic,hmac_sha256_hex,False,296,288,8,"{'short_actual_words': 2, 'actual:evaluator_boundary_straddle': 3, 'shuffled:evaluator_boundary_straddle': 1, 'ordinary:evaluator_boundary_straddle': 2}"
qwen2_5_7b_instruct_q4_k_m,segmented_hex_single_topic,hmac_sha256_hex,True,184,174,10,"{'shuffled:evaluator_boundary_straddle': 6, 'actual:evaluator_boundary_straddle': 2, 'short_actual_words': 2}"
qwen2_5_7b_instruct_q4_k_m,segmented_hex_single_topic,nonce_96_bit_hex,False,111,106,5,"{'shuffled:evaluator_boundary_straddle': 3, 'short_actual_words': 2, 'actual:evaluator_boundary_straddle': 1}"
qwen2_5_7b_instruct_q4_k_m,segmented_hex_single_topic,nonce_96_bit_hex,True,69,67,2,"{'actual:evaluator_boundary_straddle': 1, 'ordinary:evaluator_boundary_straddle': 1}"
qwen2_5_7b_instruct_q4_k_m,segmented_hex_single_topic,sha256_hex,False,296,284,12,"{'short_actual_words': 5, 'actual:evaluator_boundary_straddle': 1, 'ordinary:evaluator_boundary_straddle': 3, 'shuffled:evaluator_boundary_straddle': 3}"
qwen2_5_7b_instruct_q4_k_m,segmented_hex_single_topic,sha256_hex,True,184,178,6,"{'actual:evaluator_boundary_straddle': 3, 'shuffled:evaluator_boundary_straddle': 3, 'ordinary:evaluator_boundary_straddle': 1}"
qwen2_5_7b_instruct_q4_k_m,segmented_hex_single_topic,token_128_bit_hex,False,148,146,2,{'ordinary:evaluator_boundary_straddle': 2}
qwen2_5_7b_instruct_q4_k_m,segmented_hex_single_topic,token_128_bit_hex,True,92,88,4,"{'short_actual_words': 2, 'shuffled:evaluator_boundary_straddle': 2}"
