failure_id,trial_id,source_trial_id,robustness_family,replay_mode,transformation_id,mitigation_id,source_model_id,model_id,payload_name,prompt_category,segment_index,failure_category,failure_mechanism,mechanism_basis,mechanism_scope,first_differing_position,expected_token_id,recovered_token_id,expected_rank,recovered_rank,alphabet_size_B,recovered_rank_out_of_bound,token_length_changed,rank_length_changed,context_sha256,boundary_start_offset,boundary_end_offset,divergence_fields_availability
failure__8bcc4f46e21ca9571ede3395,revision_v1_robustness_v2_payload_fidelity_v2__ed3e95b6247910f8c819,revision_v1_primary_v2_payload_fidelity_v2__2e09cc168ed70993ea50,raw_transmission,transformed_text_retokenized,token_deletion,none,llama3_8b_instruct_q4_k_m,llama3_8b_instruct_q4_k_m,revision_v1_sha256_hex_000,casual_conversation,5,raw_transmission,content_edit_tokenization_divergence,token_deletion,descriptive_first_divergence_not_causal_proof,1,374.0,682.0,6,1370.0,16,True,False,False,1c6eacf30c081f862e472155f17a3cb5c87d9f1bff6a59f043ebd9bd645bc049,0,8,recorded
failure__1dd9b7a0509825b5b66efe4f,revision_v1_robustness_v2_payload_fidelity_v2__f699fc5d402e52ca8dbd,revision_v1_primary_v2_payload_fidelity_v2__2e09cc168ed70993ea50,raw_transmission,transformed_text_retokenized,paraphrase,none,llama3_8b_instruct_q4_k_m,llama3_8b_instruct_q4_k_m,revision_v1_sha256_hex_000,casual_conversation,0,raw_transmission,semantic_rewrite_divergence,paraphrase transformation,descriptive_first_divergence_not_causal_proof,0,1789.0,220.0,8,15.0,16,False,False,False,42048cc2c1346e047690ef46436371e8a737946098cb0550b8dfbdc43ad4da8e,0,8,recorded
failure__74eada339dadb629cf1f02e2,revision_v1_robustness_v2_payload_fidelity_v2__cdfdae9eefa69cbf8a48,revision_v1_primary_v2_payload_fidelity_v2__877c651439472cad6a87,raw_transmission,transformed_text_retokenized,line_endings,none,llama3_8b_instruct_q4_k_m,llama3_8b_instruct_q4_k_m,revision_v1_sha256_hex_001,professional_communication,1,raw_transmission,whitespace_or_markup_tokenization_divergence,line_endings,descriptive_first_divergence_not_causal_proof,0,57277.0,334.0,1,,16,False,False,True,28a4c6a915ab0a8e9626bb7b7eadd481a8eebb5572e858be3e5e8c946d9a9cd3,0,8,recorded
failure__b4fe35c3a0e34908b42def2b,revision_v1_robustness_v2_payload_fidelity_v2__6fe00ba4fe4c79906d47,revision_v1_primary_v2_payload_fidelity_v2__877c651439472cad6a87,raw_transmission,transformed_text_retokenized,whitespace_trim,none,llama3_8b_instruct_q4_k_m,llama3_8b_instruct_q4_k_m,revision_v1_sha256_hex_001,professional_communication,0,raw_transmission,whitespace_or_markup_tokenization_divergence,whitespace_trim,descriptive_first_divergence_not_causal_proof,0,1789.0,2520.0,6,38482.0,16,True,False,False,fc9efd9807617bdba2b4324d8bae693a652717cd88eff3033a22ef03cfdea357,0,8,recorded
failure__67847fc1d86bc9463de39474,revision_v1_robustness_v2_payload_fidelity_v2__04eba54f087ea59cbfa2,revision_v1_primary_v2_payload_fidelity_v2__877c651439472cad6a87,raw_transmission,transformed_text_retokenized,whitespace_collapse,none,llama3_8b_instruct_q4_k_m,llama3_8b_instruct_q4_k_m,revision_v1_sha256_hex_001,professional_communication,0,raw_transmission,whitespace_or_markup_tokenization_divergence,whitespace_collapse,descriptive_first_divergence_not_causal_proof,0,1789.0,2520.0,6,38482.0,16,True,False,False,fc9efd9807617bdba2b4324d8bae693a652717cd88eff3033a22ef03cfdea357,0,8,recorded
failure__c5b089843ad36727c30dd13f,revision_v1_robustness_v2_payload_fidelity_v2__8602a4e8e792e6e3e2e5,revision_v1_primary_v2_payload_fidelity_v2__877c651439472cad6a87,raw_transmission,transformed_text_retokenized,quote_conversion,none,llama3_8b_instruct_q4_k_m,llama3_8b_instruct_q4_k_m,revision_v1_sha256_hex_001,professional_communication,2,raw_transmission,quotation_tokenization_divergence,quote_conversion,descriptive_first_divergence_not_causal_proof,6,330.0,1054.0,2,33.0,16,True,False,False,070a81c1c2c363b4e625bcdc06bcf5f4ed2ddb1bc31896be799416ca97470c04,0,8,recorded
failure__683b1081d6575f36a964cf7d,revision_v1_robustness_v2_payload_fidelity_v2__df8100cae858e63ef0d9,revision_v1_primary_v2_payload_fidelity_v2__877c651439472cad6a87,raw_transmission,transformed_text_retokenized,markdown_copy_paste,none,llama3_8b_instruct_q4_k_m,llama3_8b_instruct_q4_k_m,revision_v1_sha256_hex_001,professional_communication,0,raw_transmission,whitespace_or_markup_tokenization_divergence,markdown_copy_paste,descriptive_first_divergence_not_causal_proof,0,1789.0,29.0,6,,16,False,False,True,fc9efd9807617bdba2b4324d8bae693a652717cd88eff3033a22ef03cfdea357,0,8,recorded
failure__9ef0fa967f32750554f186c0,revision_v1_robustness_v2_payload_fidelity_v2__76b084408b45f25d5b46,revision_v1_primary_v2_payload_fidelity_v2__877c651439472cad6a87,raw_transmission,transformed_text_retokenized,character_insertion,none,llama3_8b_instruct_q4_k_m,llama3_8b_instruct_q4_k_m,revision_v1_sha256_hex_001,professional_communication,4,raw_transmission,content_edit_tokenization_divergence,character_insertion,descriptive_first_divergence_not_causal_proof,5,15398.0,1156.0,6,92.0,16,True,False,False,1c6eacf30c081f862e472155f17a3cb5c87d9f1bff6a59f043ebd9bd645bc049,0,8,recorded
failure__1b651417b703311695aeb3ad,revision_v1_robustness_v2_payload_fidelity_v2__a14e2a9414505a90ebcb,revision_v1_primary_v2_payload_fidelity_v2__877c651439472cad6a87,raw_transmission,transformed_text_retokenized,character_deletion,none,llama3_8b_instruct_q4_k_m,llama3_8b_instruct_q4_k_m,revision_v1_sha256_hex_001,professional_communication,4,raw_transmission,content_edit_tokenization_divergence,character_deletion,descriptive_first_divergence_not_causal_proof,4,14595.0,3666.0,9,3305.0,16,True,False,False,1c6eacf30c081f862e472155f17a3cb5c87d9f1bff6a59f043ebd9bd645bc049,0,8,recorded
failure__08cc437101b57c45de3ddb2b,revision_v1_robustness_v2_payload_fidelity_v2__eee70024e102016b60f9,revision_v1_primary_v2_payload_fidelity_v2__877c651439472cad6a87,raw_transmission,transformed_text_retokenized,character_substitution,none,llama3_8b_instruct_q4_k_m,llama3_8b_instruct_q4_k_m,revision_v1_sha256_hex_001,professional_communication,0,raw_transmission,content_edit_tokenization_divergence,character_substitution,descriptive_first_divergence_not_causal_proof,2,8871.0,358.0,4,125.0,16,True,False,False,fc9efd9807617bdba2b4324d8bae693a652717cd88eff3033a22ef03cfdea357,0,8,recorded
failure__9c9e618de3cd5ee23e1de780,revision_v1_robustness_v2_payload_fidelity_v2__f261c7c5481eec261702,revision_v1_primary_v2_payload_fidelity_v2__877c651439472cad6a87,raw_transmission,transformed_text_retokenized,token_deletion,none,llama3_8b_instruct_q4_k_m,llama3_8b_instruct_q4_k_m,revision_v1_sha256_hex_001,professional_communication,4,raw_transmission,content_edit_tokenization_divergence,token_deletion,descriptive_first_divergence_not_causal_proof,4,14595.0,15398.0,9,247.0,16,True,False,False,1c6eacf30c081f862e472155f17a3cb5c87d9f1bff6a59f043ebd9bd645bc049,0,8,recorded
failure__765a4d3d38173e0acc44f5c6,revision_v1_robustness_v2_payload_fidelity_v2__144ad808a6a8e9bf09ca,revision_v1_primary_v2_payload_fidelity_v2__877c651439472cad6a87,raw_transmission,transformed_text_retokenized,paraphrase,none,llama3_8b_instruct_q4_k_m,llama3_8b_instruct_q4_k_m,revision_v1_sha256_hex_001,professional_communication,0,raw_transmission,semantic_rewrite_divergence,paraphrase transformation,descriptive_first_divergence_not_causal_proof,0,1789.0,23212.0,6,77.0,16,True,False,False,fc9efd9807617bdba2b4324d8bae693a652717cd88eff3033a22ef03cfdea357,0,8,recorded
failure__5cc9aae248b1a1dd34cde186,revision_v1_robustness_v2_payload_fidelity_v2__d0730f2dd58da5dc2451,revision_v1_primary_v2_payload_fidelity_v2__bbcfb4a8110ef560a3cd,raw_transmission,transformed_text_retokenized,line_endings,none,llama3_8b_instruct_q4_k_m,llama3_8b_instruct_q4_k_m,revision_v1_sha256_hex_002,forum_question_answer,0,raw_transmission,whitespace_or_markup_tokenization_divergence,line_endings,descriptive_first_divergence_not_causal_proof,0,2195.0,1131.0,14,,16,False,False,True,28a4c6a915ab0a8e9626bb7b7eadd481a8eebb5572e858be3e5e8c946d9a9cd3,0,8,recorded
failure__ca96e260bf132313eebda0ed,revision_v1_robustness_v2_payload_fidelity_v2__e164b44178e490d5be34,revision_v1_primary_v2_payload_fidelity_v2__bbcfb4a8110ef560a3cd,raw_transmission,transformed_text_retokenized,whitespace_trim,none,llama3_8b_instruct_q4_k_m,llama3_8b_instruct_q4_k_m,revision_v1_sha256_hex_002,forum_question_answer,0,raw_transmission,whitespace_or_markup_tokenization_divergence,whitespace_trim,descriptive_first_divergence_not_causal_proof,0,1789.0,2520.0,14,45044.0,16,True,False,False,28a4c6a915ab0a8e9626bb7b7eadd481a8eebb5572e858be3e5e8c946d9a9cd3,0,8,recorded
failure__5ec9019b2a3d72f89bdea0d5,revision_v1_robustness_v2_payload_fidelity_v2__921b86cde74632fce65a,revision_v1_primary_v2_payload_fidelity_v2__bbcfb4a8110ef560a3cd,raw_transmission,transformed_text_retokenized,whitespace_collapse,none,llama3_8b_instruct_q4_k_m,llama3_8b_instruct_q4_k_m,revision_v1_sha256_hex_002,forum_question_answer,0,raw_transmission,whitespace_or_markup_tokenization_divergence,whitespace_collapse,descriptive_first_divergence_not_causal_proof,0,1789.0,2520.0,14,45044.0,16,True,False,False,28a4c6a915ab0a8e9626bb7b7eadd481a8eebb5572e858be3e5e8c946d9a9cd3,0,8,recorded
failure__dcdc507090a0d228babe70e5,revision_v1_robustness_v2_payload_fidelity_v2__13711efb48a6e26cda71,revision_v1_primary_v2_payload_fidelity_v2__bbcfb4a8110ef560a3cd,raw_transmission,transformed_text_retokenized,markdown_copy_paste,none,llama3_8b_instruct_q4_k_m,llama3_8b_instruct_q4_k_m,revision_v1_sha256_hex_002,forum_question_answer,0,raw_transmission,whitespace_or_markup_tokenization_divergence,markdown_copy_paste,descriptive_first_divergence_not_causal_proof,0,1789.0,29.0,14,,16,False,False,True,28a4c6a915ab0a8e9626bb7b7eadd481a8eebb5572e858be3e5e8c946d9a9cd3,0,8,recorded
failure__76ec4437aa6f07dd4e4d6c54,revision_v1_robustness_v2_payload_fidelity_v2__a84d771969bf2c52030d,revision_v1_primary_v2_payload_fidelity_v2__bbcfb4a8110ef560a3cd,raw_transmission,transformed_text_retokenized,character_insertion,none,llama3_8b_instruct_q4_k_m,llama3_8b_instruct_q4_k_m,revision_v1_sha256_hex_002,forum_question_answer,2,raw_transmission,content_edit_tokenization_divergence,character_insertion,descriptive_first_divergence_not_causal_proof,4,53087.0,13826.0,10,917.0,16,True,False,False,fd9fd860a1176177d99f43c848c28112f7d49c410f3768fd8d2f603cdd6c9ae5,0,8,recorded
failure__33312096830491e0bf113546,revision_v1_robustness_v2_payload_fidelity_v2__a3057f39388a2990e696,revision_v1_primary_v2_payload_fidelity_v2__bbcfb4a8110ef560a3cd,raw_transmission,transformed_text_retokenized,character_deletion,none,llama3_8b_instruct_q4_k_m,llama3_8b_instruct_q4_k_m,revision_v1_sha256_hex_002,forum_question_answer,6,raw_transmission,content_edit_tokenization_divergence,character_deletion,descriptive_first_divergence_not_causal_proof,2,1766.0,220.0,11,129.0,16,True,False,False,28a4c6a915ab0a8e9626bb7b7eadd481a8eebb5572e858be3e5e8c946d9a9cd3,0,8,recorded
failure__9d7f2781c23a9078cdeb0071,revision_v1_robustness_v2_payload_fidelity_v2__3a2963f97c602d93c629,revision_v1_primary_v2_payload_fidelity_v2__bbcfb4a8110ef560a3cd,raw_transmission,transformed_text_retokenized,token_deletion,none,llama3_8b_instruct_q4_k_m,llama3_8b_instruct_q4_k_m,revision_v1_sha256_hex_002,forum_question_answer,1,raw_transmission,content_edit_tokenization_divergence,token_deletion,descriptive_first_divergence_not_causal_proof,1,644.0,1057.0,14,39367.0,16,True,False,False,070a81c1c2c363b4e625bcdc06bcf5f4ed2ddb1bc31896be799416ca97470c04,0,8,recorded
failure__720ad34c769228237bf16e73,revision_v1_robustness_v2_payload_fidelity_v2__5e0471d123b1fc7ad894,revision_v1_primary_v2_payload_fidelity_v2__bbcfb4a8110ef560a3cd,raw_transmission,transformed_text_retokenized,paraphrase,none,llama3_8b_instruct_q4_k_m,llama3_8b_instruct_q4_k_m,revision_v1_sha256_hex_002,forum_question_answer,0,raw_transmission,semantic_rewrite_divergence,paraphrase transformation,descriptive_first_divergence_not_causal_proof,0,1789.0,477.0,14,2508.0,16,True,False,False,28a4c6a915ab0a8e9626bb7b7eadd481a8eebb5572e858be3e5e8c946d9a9cd3,0,8,recorded
failure__98c470d41792d7a7655050ca,revision_v1_robustness_v2_payload_fidelity_v2__f3d42061ea8c3084e46d,revision_v1_primary_v2_payload_fidelity_v2__b966824d49f467a34d38,raw_transmission,transformed_text_retokenized,line_endings,none,llama3_8b_instruct_q4_k_m,llama3_8b_instruct_q4_k_m,revision_v1_sha256_hex_003,recipe_procedure,2,raw_transmission,whitespace_or_markup_tokenization_divergence,line_endings,descriptive_first_divergence_not_causal_proof,0,633.0,2634.0,15,,16,False,False,True,1c6eacf30c081f862e472155f17a3cb5c87d9f1bff6a59f043ebd9bd645bc049,0,8,recorded
failure__7cffe0554de47355db33eb8c,revision_v1_robustness_v2_payload_fidelity_v2__3e06a98b7b749e8199bb,revision_v1_primary_v2_payload_fidelity_v2__b966824d49f467a34d38,raw_transmission,transformed_text_retokenized,whitespace_trim,none,llama3_8b_instruct_q4_k_m,llama3_8b_instruct_q4_k_m,revision_v1_sha256_hex_003,recipe_procedure,0,raw_transmission,whitespace_or_markup_tokenization_divergence,whitespace_trim,descriptive_first_divergence_not_causal_proof,0,320.0,38257.0,6,25910.0,16,True,False,False,070a81c1c2c363b4e625bcdc06bcf5f4ed2ddb1bc31896be799416ca97470c04,0,8,recorded
failure__36af5a72300b4ca5b5f0d428,revision_v1_robustness_v2_payload_fidelity_v2__48ffc84681117712aef2,revision_v1_primary_v2_payload_fidelity_v2__b966824d49f467a34d38,raw_transmission,transformed_text_retokenized,whitespace_collapse,none,llama3_8b_instruct_q4_k_m,llama3_8b_instruct_q4_k_m,revision_v1_sha256_hex_003,recipe_procedure,0,raw_transmission,whitespace_or_markup_tokenization_divergence,whitespace_collapse,descriptive_first_divergence_not_causal_proof,0,320.0,38257.0,6,25910.0,16,True,False,False,070a81c1c2c363b4e625bcdc06bcf5f4ed2ddb1bc31896be799416ca97470c04,0,8,recorded
failure__1423a21243e7d613950bb0c0,revision_v1_robustness_v2_payload_fidelity_v2__611e05cc986e494efabe,revision_v1_primary_v2_payload_fidelity_v2__b966824d49f467a34d38,raw_transmission,transformed_text_retokenized,quote_conversion,none,llama3_8b_instruct_q4_k_m,llama3_8b_instruct_q4_k_m,revision_v1_sha256_hex_003,recipe_procedure,2,raw_transmission,quotation_tokenization_divergence,quote_conversion,descriptive_first_divergence_not_causal_proof,6,596.0,753.0,16,23.0,16,True,False,False,1c6eacf30c081f862e472155f17a3cb5c87d9f1bff6a59f043ebd9bd645bc049,0,8,recorded
failure__f4523f56ef760552522c4ede,revision_v1_robustness_v2_payload_fidelity_v2__de48f4180c80d3d73549,revision_v1_primary_v2_payload_fidelity_v2__b966824d49f467a34d38,raw_transmission,transformed_text_retokenized,markdown_copy_paste,none,llama3_8b_instruct_q4_k_m,llama3_8b_instruct_q4_k_m,revision_v1_sha256_hex_003,recipe_procedure,0,raw_transmission,whitespace_or_markup_tokenization_divergence,markdown_copy_paste,descriptive_first_divergence_not_causal_proof,0,320.0,29.0,6,,16,False,False,True,070a81c1c2c363b4e625bcdc06bcf5f4ed2ddb1bc31896be799416ca97470c04,0,8,recorded
failure__8b7b035442fffa189d13bb66,revision_v1_robustness_v2_payload_fidelity_v2__e9134281489cddc81afb,revision_v1_primary_v2_payload_fidelity_v2__b966824d49f467a34d38,raw_transmission,transformed_text_retokenized,character_insertion,none,llama3_8b_instruct_q4_k_m,llama3_8b_instruct_q4_k_m,revision_v1_sha256_hex_003,recipe_procedure,3,raw_transmission,content_edit_tokenization_divergence,character_insertion,descriptive_first_divergence_not_causal_proof,0,1789.0,13585.0,8,26661.0,16,True,False,False,42048cc2c1346e047690ef46436371e8a737946098cb0550b8dfbdc43ad4da8e,0,8,recorded
failure__62b5b01401e6c973e8d74d8e,revision_v1_robustness_v2_payload_fidelity_v2__fe7e870bc0151211db0b,revision_v1_primary_v2_payload_fidelity_v2__b966824d49f467a34d38,raw_transmission,transformed_text_retokenized,character_deletion,none,llama3_8b_instruct_q4_k_m,llama3_8b_instruct_q4_k_m,revision_v1_sha256_hex_003,recipe_procedure,6,raw_transmission,content_edit_tokenization_divergence,character_deletion,descriptive_first_divergence_not_causal_proof,1,349.0,266.0,14,1301.0,16,True,False,False,070a81c1c2c363b4e625bcdc06bcf5f4ed2ddb1bc31896be799416ca97470c04,0,8,recorded
failure__19704faf0db3bdfea44b2405,revision_v1_robustness_v2_payload_fidelity_v2__09e09febb36380151cda,revision_v1_primary_v2_payload_fidelity_v2__b966824d49f467a34d38,raw_transmission,transformed_text_retokenized,character_substitution,none,llama3_8b_instruct_q4_k_m,llama3_8b_instruct_q4_k_m,revision_v1_sha256_hex_003,recipe_procedure,4,raw_transmission,content_edit_tokenization_divergence,character_substitution,descriptive_first_divergence_not_causal_proof,7,13375.0,390.0,14,699.0,16,True,False,False,fc9efd9807617bdba2b4324d8bae693a652717cd88eff3033a22ef03cfdea357,0,8,recorded
failure__3d1721e7518caa48ebedeea9,revision_v1_robustness_v2_payload_fidelity_v2__9780b80cdb330237c832,revision_v1_primary_v2_payload_fidelity_v2__b966824d49f467a34d38,raw_transmission,transformed_text_retokenized,token_deletion,none,llama3_8b_instruct_q4_k_m,llama3_8b_instruct_q4_k_m,revision_v1_sha256_hex_003,recipe_procedure,2,raw_transmission,content_edit_tokenization_divergence,token_deletion,descriptive_first_divergence_not_causal_proof,7,46866.0,649.0,15,251.0,16,True,False,False,1c6eacf30c081f862e472155f17a3cb5c87d9f1bff6a59f043ebd9bd645bc049,0,8,recorded
failure__27d95daeeb92b527defc267f,revision_v1_robustness_v2_payload_fidelity_v2__3128ab0bfbeb0e32f84d,revision_v1_primary_v2_payload_fidelity_v2__b966824d49f467a34d38,raw_transmission,transformed_text_retokenized,paraphrase,none,llama3_8b_instruct_q4_k_m,llama3_8b_instruct_q4_k_m,revision_v1_sha256_hex_003,recipe_procedure,0,raw_transmission,semantic_rewrite_divergence,paraphrase transformation,descriptive_first_divergence_not_causal_proof,0,320.0,2261.0,6,43641.0,16,True,False,False,070a81c1c2c363b4e625bcdc06bcf5f4ed2ddb1bc31896be799416ca97470c04,0,8,recorded
failure__4410b69b51ee3864da03664a,revision_v1_robustness_v2_payload_fidelity_v2__6f08d1a89e286517b43e,revision_v1_primary_v2_payload_fidelity_v2__3689081bb5c4511b1c87,raw_transmission,transformed_text_retokenized,line_endings,none,llama3_8b_instruct_q4_k_m,llama3_8b_instruct_q4_k_m,revision_v1_sha256_hex_004,personal_narrative_blog,1,raw_transmission,whitespace_or_markup_tokenization_divergence,line_endings,descriptive_first_divergence_not_causal_proof,0,9522.0,35929.0,5,,16,False,False,True,1c6eacf30c081f862e472155f17a3cb5c87d9f1bff6a59f043ebd9bd645bc049,0,8,recorded
failure__bd3f821a14569ed0daf91f96,revision_v1_robustness_v2_payload_fidelity_v2__7e76b242595cb265107f,revision_v1_primary_v2_payload_fidelity_v2__3689081bb5c4511b1c87,raw_transmission,transformed_text_retokenized,whitespace_trim,none,llama3_8b_instruct_q4_k_m,llama3_8b_instruct_q4_k_m,revision_v1_sha256_hex_004,personal_narrative_blog,0,raw_transmission,whitespace_or_markup_tokenization_divergence,whitespace_trim,descriptive_first_divergence_not_causal_proof,0,320.0,7.0,8,73955.0,16,True,False,False,fd9fd860a1176177d99f43c848c28112f7d49c410f3768fd8d2f603cdd6c9ae5,0,8,recorded
failure__54571489a45902a8f5282726,revision_v1_robustness_v2_payload_fidelity_v2__8a06ef5ddf59152ecbbd,revision_v1_primary_v2_payload_fidelity_v2__3689081bb5c4511b1c87,raw_transmission,transformed_text_retokenized,whitespace_collapse,none,llama3_8b_instruct_q4_k_m,llama3_8b_instruct_q4_k_m,revision_v1_sha256_hex_004,personal_narrative_blog,0,raw_transmission,whitespace_or_markup_tokenization_divergence,whitespace_collapse,descriptive_first_divergence_not_causal_proof,0,320.0,7.0,8,73955.0,16,True,False,False,fd9fd860a1176177d99f43c848c28112f7d49c410f3768fd8d2f603cdd6c9ae5,0,8,recorded
failure__cf7f769b09ff6611aab116fd,revision_v1_robustness_v2_payload_fidelity_v2__e0856596587a7bd4e26c,revision_v1_primary_v2_payload_fidelity_v2__3689081bb5c4511b1c87,raw_transmission,transformed_text_retokenized,markdown_copy_paste,none,llama3_8b_instruct_q4_k_m,llama3_8b_instruct_q4_k_m,revision_v1_sha256_hex_004,personal_narrative_blog,0,raw_transmission,whitespace_or_markup_tokenization_divergence,markdown_copy_paste,descriptive_first_divergence_not_causal_proof,0,320.0,29.0,8,,16,False,False,True,fd9fd860a1176177d99f43c848c28112f7d49c410f3768fd8d2f603cdd6c9ae5,0,8,recorded
